f (THz) - Reference	Amplitude - Reference	f (THz) - Signal	Amplitude - Signal	f (THz) - Drude	Amplitude - Drude	
0	0.017517	0	0.009952	0	0.0132557	
0.0585938	0.041711	0.0585938	0.0207411	0.0585938	0.0315707	
0.117188	0.0762671	0.117188	0.0356929	0.117188	0.0577454	
0.175781	0.116169	0.175781	0.0537292	0.175781	0.088013	
0.234375	0.152234	0.234375	0.0700924	0.234375	0.115439	
0.292969	0.176805	0.292969	0.0798903	0.292969	0.134213	
0.351563	0.186323	0.351563	0.080092	0.351563	0.141636	
0.410157	0.182044	0.410157	0.0712836	0.410157	0.138593	
0.46875	0.168787	0.46875	0.0578513	0.46875	0.128736	
0.527344	0.152065	0.527344	0.045907	0.527344	0.116212	
0.585938	0.134989	0.585938	0.0385626	0.585938	0.103387	
0.644532	0.117488	0.644532	0.0334522	0.644532	0.0902009	
0.703126	0.0986462	0.703126	0.0275555	0.703126	0.0759251	
0.76172	0.0792168	0.76172	0.020827	0.76172	0.0611406	
0.820313	0.0614427	0.820313	0.014888	0.820313	0.0475582	
0.878907	0.04695	0.878907	0.0107559	0.878907	0.0364506	
0.937501	0.0354891	0.937501	0.0079941	0.937501	0.0276399	
0.996095	0.0259119	0.996095	0.00575082	0.996095	0.0202464	
1.05469	0.0177351	1.05469	0.00376445	1.05469	0.0139047	
1.11328	0.0113489	1.11328	0.00220277	1.11328	0.00892847	
1.17188	0.00723787	1.17188	0.00123899	1.17188	0.0057145	
1.23047	0.00517278	1.23047	0.000824915	1.23047	0.00409883	
1.28906	0.00409167	1.28906	0.000648101	1.28906	0.00325407	
1.34766	0.00316324	1.34766	0.00048678	1.34766	0.0025251	
1.40625	0.00225904	1.40625	0.000325007	1.40625	0.00181007	
1.46485	0.00151939	1.46485	0.000196981	1.46485	0.00122204	
1.52344	0.00100473	1.52344	0.000115667	1.52344	0.000811172	
1.58203	0.000647627	1.58203	6.68955E-5	1.58203	0.00052486	
1.64063	0.000380644	1.64063	3.38275E-5	1.64063	0.000309665	
1.69922	0.000192865	1.69922	1.35253E-5	1.69922	0.000157499	
1.75781	8.6841E-5	1.75781	9.44979E-6	1.75781	7.1186E-5	
1.81641	4.54113E-5	1.81641	9.63041E-6	1.81641	3.73655E-5	
1.875	3.23596E-5	1.875	8.17478E-6	1.875	2.67261E-5	
1.9336	2.31369E-5	1.9336	6.61138E-6	1.9336	1.918E-5	
1.99219	1.44579E-5	1.99219	5.79944E-6	1.99219	1.20295E-5	
